Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
110,10.9002,4.468623634,5.962775988,5.468865609
111,11.0002,4.455318916,6.069226616,5.462188552
112,11.1002,4.498830582,5.987363714,5.515291093
113,11.2002,4.554164742,6.04142733,5.458136737
114,11.3002,4.542476027,6.041043626,5.518036752
115,11.4002,4.465127934,6.008623656,5.587975811
116,11.5002,4.524497339,6.050743484,5.544001467
117,11.6002,4.563640612,5.883565433,5.491529132
118,11.7002,4.491305734,6.079010845,5.458639084
119,11.8002,4.572618798,6.035373166,5.488566724
120,11.9002,4.487500788,6.003066879,5.530135261
121,12.0002,4.429312753,5.982311614,5.60135652
122,12.1002,4.588900747,6.010790136,5.562922906
123,12.2002,4.503344234,6.043194261,5.525531609
124,12.3002,4.466100078,6.003640627,5.544481062
125,12.4002,4.51661033,6.042073886,5.576220941
126,12.5002,4.500224003,5.971347219,5.495017131
