Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
171,17.0003,5.736521297,4.468449154,3.521813053
172,17.1003,4.750406609,4.107336952,3.22271579
173,17.2003,4.773115598,3.849531406,3.416251269
174,17.3003,3.673662879,3.794755048,4.731281811
175,17.4003,4.901924053,4.249308002,4.758392738
176,17.5004,3.746168287,3.382245092,4.004463877
177,17.6004,4.07407991,3.765348954,3.239542768
178,17.7004,6.81694546,3.42274775,3.980402638
179,17.8004,4.462947789,3.929023462,3.324972041
180,17.9004,4.934803026,3.810926411,3.777029675
181,18.0004,4.464319143,4.458649652,5.058442768
182,18.1004,3.879988964,4.991642854,3.196187391
183,18.2004,4.118850578,3.968255816,3.249372955
184,18.3004,3.996773139,4.161167989,3.70910231
185,18.4004,4.278222437,5.209946486,6.299253525
186,18.5004,4.742827392,4.355089669,5.382354896
187,18.6004,5.255695127,4.285722397,6.036158349
188,18.7004,5.744398726,4.652650448,6.293760835
189,18.8004,5.03546466,4.063634723,4.692283418
190,18.9004,3.934369204,3.696159078,4.979048902
191,19.0004,5.69819327,4.71525219,6.118995932
192,19.1004,4.122157681,3.963652233,5.091727583
193,19.2004,3.953286644,3.325799114,5.318270147
194,19.3004,4.181648762,4.820954436,5.457130476
195,19.4004,3.854527607,4.011888304,5.053357038
196,19.5004,5.711120196,3.952884957,4.76135469
197,19.6004,5.930369823,3.363640186,6.700257076
198,19.7004,6.213851002,4.01330585,7.019066978
199,19.8004,4.963540563,4.074445565,4.690840976
200,19.9004,4.934436576,4.734623967,3.699988486
201,20.0004,4.595068977,4.251874915,3.44568994
202,20.1004,4.306051391,5.035319946,3.119630283
203,20.2004,4.334424717,3.192037048,3.652717303
204,20.3004,4.572813014,3.404167246,3.271066148
205,20.4004,4.571487292,2.770695457,3.465151855
206,20.5004,4.861028223,2.939338058,3.823223367
207,20.6004,4.410180216,3.248575259,3.236141466
208,20.7004,4.077733809,3.540137347,2.985224769
