Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,,Proanthocyanidin A-6,,,
49,4.8001,287.1055555,341.6432975,307.7578531,,,
50,4.9001,250.2527505,370.7776415,286.4934249,,,
51,5.0001,273.4471434,355.3641833,251.0102237,,,
52,5.1001,257.546173,373.1817606,255.4371284,,,
53,5.2001,250.1929809,384.6473434,242.4288779,,,
54,5.3001,258.244401,362.9007476,252.0817463,,,
55,5.4001,265.0091568,435.6285419,257.8735418,,,
56,5.5001,299.7132682,433.2544384,239.2545864,,,
57,5.6001,255.0856734,393.7009894,212.9981033,,,
58,5.7001,270.5260134,442.0289055,244.2971069,,,
59,5.8001,234.3569645,451.5760337,244.6009042,,,
60,5.9001,255.3544948,458.4703455,203.8019374,,,
61,6.0001,256.3390487,361.7159224,224.281826,,,
62,6.1001,273.9994356,342.8392098,232.8612651,,,
63,6.2001,267.8619734,436.8026424,229.8698476,,,
64,6.3001,277.3162178,372.348788,203.0733967,,,
65,6.4001,258.9193827,421.9892438,227.1682809,,,
66,6.5001,257.9462092,405.0013718,247.9521571,,,
67,6.6001,186.2618128,454.4830478,255.1932027,,,
68,6.7001,194.5337055,439.5909428,220.2426157,,,
69,6.8001,201.5080155,364.1162256,226.4768702,,,
70,6.9001,226.4849578,406.6389559,240.9238981,,,
71,7.0001,233.6850029,393.1731074,196.2727563,,,
72,7.1001,243.8107582,382.9034073,239.3731658,,,
73,7.2001,236.8777798,419.316576,230.2424284,,,
74,7.3001,217.6963288,359.0266108,259.5917789,,,
75,7.4001,251.7131437,389.1939636,238.0835741,,,
76,7.5002,239.8376113,407.2759629,230.48799,,,
77,7.6002,215.0851824,408.4581356,257.2818337,,,
78,7.7002,231.2093568,380.2413553,258.5004348,,,
79,7.8002,217.5170558,378.8073193,260.3550899,,,
80,7.9002,240.5294618,405.6120672,254.4582691,,,
81,8.0002,228.0491858,429.8500438,263.3516643,,,
82,8.1002,236.9654915,445.2504395,290.6572991,,,
83,8.2002,231.7973275,378.0041206,302.6486414,,,
84,8.3002,225.7687148,378.8711476,267.9954278,,,
85,8.4002,235.9890057,365.6231123,267.3227345,,,
86,8.5002,230.1427934,388.1336292,232.1857305,,,
87,8.6002,240.4289328,406.3790591,279.8274308,,,
88,8.7002,235.6642753,420.0197277,290.2941778,,,
89,8.8002,255.2089913,386.3242459,288.9130746,,,
90,8.9002,227.2863648,369.773311,280.6676265,,,
91,9.0002,230.085013,419.7844902,283.349025,,,
92,9.1002,223.6908197,413.1793678,252.3335888,,,
93,9.2002,201.3838219,429.6306306,252.124967,,,
94,9.3002,237.5786053,388.7194136,288.0227683,,,
95,9.4002,238.2796318,366.2180797,288.6245408,,,
96,9.5002,225.8022807,384.9940712,257.4906501,,,
97,9.6002,242.210332,356.7865176,277.3956249,,,
98,9.7002,218.7533447,401.6412002,245.9842001,,,
99,9.8002,232.4211603,407.9986823,237.8041588,,,
100,9.9002,216.8193412,425.5534125,209.7255425,,,
101,10.0002,251.5069902,425.3806687,232.1550795,,,
102,10.1002,232.631492,420.8065259,250.7976083,,,
103,10.2002,265.0527586,352.2701304,246.7305207,,,
104,10.3002,220.9633176,386.8210805,274.1026777,,,
105,10.4002,247.446953,418.7411256,273.6300953,,,
106,10.5002,262.1976126,419.8407252,227.5436838,,,
107,10.6002,263.5059646,408.8290747,207.9019754,,,
108,10.7002,228.2254825,455.5845857,237.0809707,,,
109,10.8002,210.3985603,467.3503155,234.7932123,,,
110,10.9002,233.7952837,432.9929803,224.3057524,,,
111,11.0002,238.199884,433.8753273,263.6002769,,,
112,11.1002,233.1499753,459.2271907,252.5154467,,,
113,11.2002,229.6100229,417.5123426,308.1240797,,,
114,11.3002,254.4067307,402.0894306,259.138853,,,
